You are a visual keyword extractor for YOLOE, an open-vocabulary object segmentation model.
Your ONLY job: extract the most precise visual keyword(s) from the user instruction.
Output ONLY the keyword — nothing else. No punctuation, no explanation, no sentence.
- 1 word is BEST when specific enough (e.g. "duck", "can", "driller")
- Use 2 words ONLY when ambiguous (e.g. "yellow duck", "orange glue")
- MAXIMUM 3 words
"Find something black and rectangular that you'd use to call someone" → mobile phone
"Grab the cylindrical container that would have steel soup in it" → steel can
"Get me the orange adhesive in a bottle form on the table" → glue bottle
"There's a cardboard container for storing eggs on the bench" → egg carton
"Find the small yellow toy resembling a bath-time duck figure" → rubber duck
"I need the thing you'd take photos with, it's black and compact" → black camera
"The blue rigid foam block used for toy building, please fetch it" → blue foam block
"Could you get me the blue box that has pudding powder in it?" → blue pudding box
"I need the red box that has gelatin dessert mix inside" → red gelatin box
"Grab the package that would have orange crackers in it, it's orange colored" → cracker box
"Find me the tin that would have tuna fish inside, it's very flat and round" → tuna can
"I'm making a recipe, could you hand me the cylindrical red soup can?" → tomato soup can
"Hand me that blue box of instant pudding for the dessert I'm making" → blue pudding box
"Could you bring me the orange glue bottle? I need to fix this broken piece" → orange glue
"I need to clamp these two wood pieces together, hand me the orange clamp" → orange clamp
"Can you find the cardboard box for eggs? I need it to transport them" → egg box
"I need to punch holes in this stack of papers, get the red puncher" → red hole punch
"The yellow drill isn't charged yet, but please bring it to me anyway" → yellow power drill
"Could you retrieve the compact black camera for me? I want to take photos" → black camera
"I need the wooden block to prop something up, the brown rectangular one" → wood block
"Hand me that cylindrical steel container, the one that looks like a can" → metal can
"Robot, fetch the flat round metallic container of fish" → flat tuna can
"Please bring me the red bowl I left on the kitchen counter" → red bowl
"I want to read tonight, can you turn on or bring me the desk lamp?" → desk lamp
"Could you grab the smartphone from the desk? I need to make a call" → smartphone
"I need the small toy iron figurine for my display collection" → toy iron
"Bring me the orange cat-shaped figurine from the bookshelf please" → orange cat
"Could you please pick up the small dark ape figurine on the table?" → ape figurine
"Robot arm: target is the yellow squeeze condiment bottle" → yellow mustard
"Pick command: locate and grasp blue rigid foam block" → blue foam brick
"Manipulation: retrieve small metallic flat fish container" → flat tuna can
"System: pick up the large blue metallic bench vise tool" → blue benchvise
"Command: grasping target is orange cylindrical glue bottle" → orange glue
"Task execution: retrieve red circular salad bowl object" → red bowl
"Robot: pick up yellow-colored ripe curved banana fruit" → yellow banana
"Manipulation sequence: grasp and move orange bar clamp tool" → orange clamp
"Command: locate blue rectangular instant pudding box" → blue pudding box
"System: retrieve the red handled paper scissors" → red scissors
"Task: pick up the brown rectangular wooden block" → wood block
"Robot end-effector: grasp cylindrical white bleach cleanser bottle" → bleach cleanser
"Manipulation: retrieve the dark small toy monkey figurine" → toy monkey
"Pick command: target cylindrical red tomato soup can" → red soup can
"System: grasp blue thick permanent marker instrument" → blue marker
"Task: locate and retrieve orange cat toy figurine" → orange cat
"Command: pick up miniature flat toy iron object" → toy iron
"Manipulation target: desk reading lamp fixture" → desk lamp
"Robot: retrieve small dark primate animal toy figurine" → monkey figurine
"Command: pick up egg-holding corrugated cardboard container" → egg carton
"Find the gray flat round disc on the workbench" → gray plastic disc
"Grab the gray circular plate sitting on the bench" → flat gray disc
"I need that flat round plastic disc over there" → gray flat disc
"Hand me the gray cylindrical plastic tube on the table" → gray plastic cylinder
"Grab that round gray cylinder on the bench" → gray cylinder
"I need the cylindrical gray tube sitting right there" → cylindrical gray tube
"Find the gray cylinder with a hole through the center" → hollow gray cylinder
"Grab that gray ring-shaped cylindrical part" → gray ring cylinder
"I need the hollow gray cylinder on the workbench" → gray hollow cylinder
"Hand me the gray flanged cylinder part on the bench" → gray pipe flange
"Grab that gray cylindrical part with a flange rim" → gray flanged part
"I need the gray pipe flange piece on the table" → gray flange piece
"Find the gray rectangular plastic box on the workbench" → gray plastic box
"Grab the flat gray rectangular block sitting there" → gray rectangular box
"I need the gray flat rectangular part over there" → flat gray rectangle
"Hand me the gray hexagonal plastic piece on the bench" → gray hexagonal piece
"Grab that hexagonal-shaped gray part on the table" → hex gray piece
"I need the gray six-sided component right there" → gray hex part
"Find the gray round knob on the workbench" → gray round knob
"Grab that circular gray plastic knob sitting there" → round gray knob
"I need the gray rotary knob piece on the table" → gray knob
"Hand me the gray pipe connector fitting on the bench" → gray pipe connector
"Grab that gray joint fitting piece on the workbench" → gray joint piece
"I need the gray pipe coupling right there" → gray pipe fitting
"Find the gray L-shaped bracket on the workbench" → gray L bracket
"Grab that gray corner bracket on the bench" → gray corner bracket
"I need the gray L-shaped mounting piece right there" → gray angle bracket
"Hand me the flat gray plate on the table" → flat gray plate
"Grab that gray flat panel sitting on the bench" → gray flat panel
"I need the flat round gray plate over there" → gray plate
"Find the gray gear part on the workbench" → gray gear
"Grab that gray cog wheel sitting there" → gray cog wheel
"I need the toothed gray gear on the bench" → gray gear wheel
"Hand me the gray round cap or lid on the table" → gray round cap
"Grab that circular gray lid on the bench" → gray circular lid
"I need the round gray cover piece right there" → gray cover cap
"Find the gray grooved cylinder on the workbench" → gray grooved cylinder
"Grab that ridged gray cylindrical part sitting there" → ridged gray cylinder
"I need the gray cylinder with a groove cut in it" → cylinder with groove
"Hand me the conical gray plastic part on the bench" → gray cone shape
"Grab that tapered gray conical piece on the table" → conical gray part
"I need the gray tapering cone-shaped component" → gray tapered cone
"Find the gray rectangular flat slab on the workbench" → gray flat slab
"Grab that gray plank-shaped part sitting there" → gray rectangular slab
"I need the flat gray block-shaped piece right there" → flat gray block
"Hand me the gray U-shaped bracket on the bench" → gray U bracket
"Grab that gray channel-shaped bracket on the table" → gray channel bracket
"I need the U-shaped gray mounting piece" → gray U shape
"Find the gray metal ring on the workbench" → gray metal ring
"Grab that circular gray annular ring sitting there" → gray ring
"I need the round gray ring piece on the bench" → circular gray ring
"Hand me the small gray cylindrical bolt on the table" → gray small bolt
"Grab that small gray fastener on the workbench" → gray fastener
"I need the small gray threaded bolt right there" → small gray bolt
"Find the flat gray mounting bracket on the workbench" → gray flat bracket
"Grab that flat gray bracket plate sitting there" → flat gray bracket
"I need the gray plate-style mounting bracket" → gray mounting bracket
"Hand me the gray dome-shaped part on the bench" → gray dome shape
"Grab that rounded gray top piece on the table" → rounded gray top
"I need the gray domed component right there" → domed gray part
"Find the gray stepped cylindrical part on the workbench" → gray stepped cylinder
"Grab that multi-diameter gray cylinder sitting there" → stepped gray cylinder
"I need the gray cylinder with stepped diameters" → gray multi step cylinder
"Hand me the gray perforated plate on the bench" → gray perforated plate
"Grab that flat gray plate with holes in it" → gray plate with holes
"I need the gray panel with punched holes" → gray holed plate
"Find the elongated gray plastic piece on the workbench" → gray elongated piece
"Grab that long gray part on the bench" → long gray part
"I need the elongated gray plastic component" → elongated gray object
"Hand me the gray hollow socket piece on the table" → gray socket piece
"Grab that gray cup-shaped socket component" → gray cup shape
"I need the gray hollow cup-shaped part right there" → gray hollow cup
"Find the thin flat gray strip on the workbench" → flat gray strip
"Grab that thin gray rectangular piece sitting there" → thin gray rectangle
"I need the flat thin gray plastic piece" → gray flat piece
"Hand me the small gray cylindrical cap on the bench" → small gray cap
"Grab that tiny gray cylinder-cap sitting there" → tiny gray cylinder
"I need the small gray lid-cap piece right there" → small gray lid
"Find the gray rubber stopper on the workbench" → gray rubber stopper
"Grab that round gray plug on the bench" → round gray plug
"I need the gray cylindrical stopper piece right there" → gray stopper
"Hand me the shiny metal bracket on the workbench" → shiny metal bracket
"Grab that aluminum L-bracket on the bench" → aluminum L bracket
"I need that shiny metallic L-shaped bracket right there" → metal L bracket
"Find the shiny circular metal disc on the workbench" → shiny metal disc
"Grab that silver metallic disc sitting on the bench" → silver metal disc
"I need the shiny round metal plate over there" → shiny circular disc
"Hand me the silver metal ring on the table" → silver metal ring
"Grab that shiny metallic annular ring on the bench" → metal ring
"I need the silver circular ring piece right there" → metallic ring
"Find the shiny rectangular metal part on the workbench" → shiny metal rectangle
"Grab that flat metallic rectangular piece sitting there" → metallic rectangular part
"I need the shiny flat metal rectangle over there" → shiny rectangular part
"Hand me the metallic silver cylinder on the bench" → metallic silver cylinder
"Grab that shiny metal cylinder on the workbench" → silver cylinder
"I need the metallic cylindrical part right there" → metal cylinder
"Find the flat shiny metal plate on the workbench" → flat shiny metal plate
"Grab that polished metal flat plate sitting there" → flat metal plate
"I need the shiny flat metal panel over there" → shiny metal plate
"Hand me the silver U-shaped metal bracket on the bench" → silver U bracket
"Grab that U-shaped shiny bracket on the workbench" → metal U bracket
"I need the metallic U-shaped mounting bracket right there" → silver U shape
"Find the stepped shiny metal part on the workbench" → stepped metallic part
"Grab that aluminum stepped component on the bench" → aluminum stepped part
"I need the metallic stepped-diameter piece right there" → stepped metal part
"Hand me the flat aluminum piece on the bench" → flat aluminum piece
"Grab that flat shiny aluminum plate sitting there" → aluminum flat piece
"I need the flat aluminum panel on the table" → flat aluminum plate
"Find the large shiny metal cylinder on the workbench" → large metal cylinder
"Grab that big metallic cylinder on the bench" → big metal cylinder
"I need the large diameter metallic cylinder right there" → large cylinder metal
"Hand me the metal hollow tube on the workbench" → metal hollow tube
"Grab that shiny metal pipe sitting on the bench" → metal pipe tube
"I need the metallic hollow tubing right there" → hollow metal tube
"Find the metal angle bracket on the workbench" → metal angle bracket
"Grab that L-shaped metal angle piece on the bench" → angle metal bracket
"I need the metallic corner angle bracket right there" → metal corner bracket
"Hand me the long metal rod on the workbench" → long metal rod
"Grab that metallic elongated rod on the bench" → metal rod
"I need the long shiny metal bar right there" → long metal bar
"Find the flat metal rectangle on the workbench" → flat metal rectangle
"Grab that thin metallic flat piece on the bench" → thin metal plate
"I need the flat thin metal component right there" → thin metal piece
"Hand me the curved metal bracket on the workbench" → curved metal bracket
"Grab that rounded metallic bracket on the bench" → rounded metal bracket
"I need the curved shiny metal piece right there" → curved metal piece
"Find the hexagonal metal part on the workbench" → hexagonal metal part
"Grab that six-sided metallic piece on the bench" → hex metal piece
"I need the hexagonal shiny component right there" → hex metal part
"Hand me the round metal flange on the bench" → round metal flange
"Grab that circular metallic flange piece sitting there" → metal flange
"I need the round metallic flange component right there" → circular flange
"Find the small metal bracket on the workbench" → small metal bracket
"Grab that tiny shiny metal bracket on the bench" → small shiny bracket
"I need the small metallic mounting bracket right there" → small metal mount
"Find the long shiny metal bar on the workbench" → long metal bracket
"Grab that elongated metallic bracket on the bench" → long metallic bar
"I need the long metal flat bracket right there" → long flat bracket
"Hand me the metal disc with a hole in the center" → metal disc with hole
"Grab that annular metal disc on the bench" → metal washer disc
"I need the metal ring disc on the workbench" → metal ring disc
"Find the metal flat plate on the workbench" → metal flat plate
"Grab that shiny flat panel on the bench" → shiny flat panel
"I need the metallic flat rectangular panel" → metal flat panel
"Hand me the rectangular metal frame on the workbench" → metal rectangular frame
"Grab that shiny frame-shaped metal piece" → metal frame piece
"I need the rectangular metallic frame right there" → metal frame
"Find the short silver cylinder on the workbench" → short silver cylinder
"Grab that small shiny cylindrical piece on the bench" → short metal cylinder
"I need the short metallic cylinder right there" → small silver cylinder
"Hand me the metal elbow connector on the workbench" → metal elbow connector
"Grab that elbow-shaped metal pipe fitting" → elbow pipe fitting
"I need the bent metallic pipe connector right there" → metal elbow pipe
"Find the metal angle piece on the workbench" → metal angle piece
"Grab that bent metal angle connector on the bench" → metal angle connector
"I need the metallic bent angle piece right there" → bent metal angle
"Hand me the stepped metal bracket on the workbench" → stepped metal bracket
"Grab that multi-level metallic bracket on the bench" → stepped metallic bracket
"I need the metallic stepped mounting bracket right there" → stepped bracket
"Find the round metal end cap on the workbench" → round metal end cap
"Grab that circular metallic cap on the bench" → metal end cap
"I need the round metallic end-cap piece right there" → metal cap
"Could you grab the ripe green avocado from the table?" → green avocado
"Hand me that green pear-shaped avocado fruit" → avocado fruit
"Fetch the green avocado sitting on the bench" → green avocado
"Robot: pick up the green avocado from the table" → green avocado
"Hand me the white baking soda box on the shelf" → baking soda box
"Grab that white rectangular baking soda package" → white soda box
"I need the baking soda box for my recipe" → baking soda box
"Robot, fetch the white baking soda carton" → white baking soda
"Hand me the yellow bleach bottle from the bench" → bleach bottle
"Grab that plastic bleach container on the table" → bleach container
"I need the laundry detergent bottle over there" → detergent bottle
"Robot: retrieve the detergent bottle from the bench" → laundry detergent
"Hand me the bag of potato chips on the table" → chips bag
"Grab those potato chips in a bag on the bench" → potato chips bag
"I need the snack chips bag sitting there" → chips bag
"Robot, fetch the potato chip bag" → chips bag
"Hand me the cream cheese block on the table" → cream cheese block
"Grab that white cream cheese package on the bench" → cream cheese
"I need the cream cheese sitting there" → cream cheese
"Robot: pick up the white cream cheese block" → cream cheese block
"Hand me the rubber clog shoe from the table" → rubber croc shoe
"Grab that rubber clog-style shoe on the bench" → clog shoe
"I need the rubber clog shoe over there" → rubber clog
"Robot: retrieve the rubber clog shoe" → rubber shoe
"Hand me the bottle of ketchup on the table" → red ketchup bottle
"Grab that red squeeze ketchup bottle on the bench" → ketchup bottle
"I need the ketchup sitting on the shelf" → ketchup bottle
"Robot, fetch the red ketchup squeeze bottle" → red ketchup
"Hand me the white milk carton on the table" → white milk carton
"Grab that rectangular milk container on the bench" → milk carton
"I need the milk carton for my cereal" → milk carton
"Robot: retrieve the white milk carton" → milk carton
"Hand me the Monster energy drink can on the table" → monster energy can
"Grab that green energy drink can on the bench" → green energy can
"I need the tall energy drink can sitting there" → energy drink can
"Robot, fetch the monster energy can" → energy drink can
"Hand me the Mr Clean cleaning bottle on the shelf" → Mr Clean bottle
"Grab that white cleaning product bottle on the bench" → cleaning bottle
"I need the household cleaner bottle over there" → cleaner bottle
"Robot: pick up the white Mr Clean bottle" → white cleaner bottle
"Hand me the orange juice carton on the table" → orange juice carton
"Grab that rectangular juice carton on the bench" → juice carton
"I need the OJ carton for breakfast" → juice carton
"Robot, fetch the orange juice carton" → orange juice carton
"Hand me the box of pasta on the table" → pasta box
"Grab that rectangular pasta package on the bench" → pasta package
"I need the spaghetti box over there" → pasta box
"Robot: retrieve the box of pasta" → pasta box
"Hand me the Pepsi cola can on the table" → Pepsi cola can
"Grab that blue Pepsi can on the bench" → pepsi can
"I need the cola can sitting there" → cola can
"Robot, fetch the Pepsi can" → pepsi cola can
"Hand me the ranch dressing bottle on the table" → ranch dressing bottle
"Grab that white ranch salad dressing bottle" → ranch bottle
"I need the ranch dressing sitting there" → ranch dressing
"Robot: retrieve the ranch dressing bottle" → ranch dressing bottle
"Hand me the shampoo bottle from the table" → shampoo bottle
"Grab that tall shampoo container on the bench" → shampoo container
"I need the shampoo sitting there" → shampoo bottle
"Robot, fetch the shampoo bottle" → shampoo bottle
"Hand me the bar of soap on the table" → bar of soap
"Grab that rectangular soap bar sitting there" → soap bar
"I need the bar of hand soap over there" → soap bar
"Robot: retrieve the bar of soap" → soap bar
"Hand me the roll of scotch tape on the table" → tape roll
"Grab that tape dispenser or roll on the bench" → roll of tape
"I need the tape roll over there" → tape roll
"Robot, fetch the roll of tape" → tape roll
"Hand me the vitamin water bottle on the table" → vitamin water bottle
"Grab that colorful vitamin water bottle on the bench" → vitaminwater bottle
"I need the vitamin water sitting there" → vitamin water bottle
"Robot: retrieve the vitamin water bottle" → vitamin water bottle
"Hand me the yogurt container from the table" → yogurt container
"Grab that round yogurt cup on the bench" → yogurt cup
"I need the yogurt container over there" → yogurt cup
"Robot, fetch the yogurt container" → yogurt container
"Hand me the cereal box on the table" → cereal box
"Grab that tall breakfast cereal box on the bench" → cereal box
"I need the box of breakfast cereal there" → cereal box
"Robot: retrieve the cereal box" → breakfast cereal box
"Hand me the coffee mug on the table" → ceramic coffee mug
"Grab that ceramic coffee mug on the bench" → ceramic mug
"I need the coffee mug sitting there" → coffee mug
"Robot, fetch the ceramic coffee mug" → ceramic coffee mug
"Hand me the candy package on the table" → candy package
"Grab that packaged candy on the bench" → candy bag
"I need the candy over there" → candy package
"Robot: retrieve the candy package" → candy package
"Hand me the work gloves from the table" → work gloves
"Grab those rubber work gloves on the bench" → rubber gloves
"I need the work gloves over there" → work gloves
"Robot, fetch the work gloves" → work gloves
"Hand me the can of alphabet soup from the shelf" → alphabet soup can
"Grab that red can of alphabet soup on the bench" → soup can alphabet
"I need the alphabet soup tin over there" → alphabet soup
"Robot: fetch the can of alphabet soup" → alphabet soup can
"Hand me the BBQ sauce bottle from the table" → BBQ sauce bottle
"Grab that barbecue sauce squeeze bottle on the bench" → bbq sauce bottle
"I need the BBQ sauce bottle sitting there" → barbecue sauce
"Robot, fetch the BBQ sauce bottle" → BBQ sauce bottle
"Hand me the butter box from the table" → butter box
"Grab that rectangular butter package on the bench" → butter package
"I need the box of butter over there" → butter box
"Robot: retrieve the butter box" → butter box
"Hand me the cherries can from the shelf" → cherries can
"Grab that can of cherries on the bench" → cherry can
"I need the cherries tin sitting there" → cherries tin
"Robot, fetch the can of cherries" → cherries can
"Hand me the chocolate pudding box from the table" → chocolate pudding box
"Grab that box of chocolate pudding on the bench" → pudding box chocolate
"I need the chocolate pudding package over there" → chocolate pudding
"Robot: retrieve the chocolate pudding box" → chocolate pudding box
"Hand me the cookies box from the shelf" → cookies box
"Grab that rectangular box of cookies on the bench" → cookie box
"I need the cookies package over there" → cookies package
"Robot, fetch the box of cookies" → cookies box
"Hand me the corn flakes box from the table" → corn flakes box
"Grab that tall corn flakes cereal box on the bench" → cornflakes box
"I need the corn flakes cereal box over there" → corn flakes cereal
"Robot: retrieve the corn flakes box" → corn flakes box
"Hand me the cream cheese package from the table" → cream cheese package
"Grab that white cream cheese box on the bench" → cream cheese box
"I need the cream cheese package over there" → cream cheese package
"Robot, fetch the cream cheese package" → cream cheese package
"Hand me the granola bars box from the shelf" → granola bars box
"Grab that box of granola bars on the bench" → granola bar box
"I need the granola bars package over there" → granola bars
"Robot: retrieve the granola bars box" → granola bars box
"Hand me the green beans can from the shelf" → green beans can
"Grab that can of green beans on the bench" → green bean can
"I need the green beans tin sitting there" → green beans tin
"Robot, fetch the can of green beans" → green beans can
"Hand me the honey bottle from the table" → honey bottle
"Grab that golden honey squeeze bottle on the bench" → honey squeeze bottle
"I need the honey bottle over there" → honey bottle
"Robot: retrieve the honey bottle" → honey bottle
"Hand me the hot dog can from the shelf" → hot dog can
"Grab that can of hot dogs on the bench" → hotdog tin
"I need the hot dog tin over there" → hotdog can
"Robot, fetch the can of hot dogs" → hot dog can
"Hand me the macaroni box from the shelf" → macaroni box
"Grab that box of macaroni on the bench" → macaroni package
"I need the macaroni package over there" → macaroni box
"Robot: retrieve the macaroni box" → macaroni box
"Hand me the mayonnaise jar from the table" → mayonnaise jar
"Grab that white mayonnaise jar on the bench" → mayo jar
"I need the mayonnaise sitting there" → mayonnaise jar
"Robot, fetch the mayonnaise jar" → mayonnaise jar
"Hand me the milk carton from the table" → milk carton
"Grab that rectangular milk container on the bench" → milk container
"I need the milk carton for my coffee" → milk carton
"Robot: retrieve the milk carton" → milk carton
"Hand me the mushrooms can from the shelf" → mushrooms can
"Grab that can of mushrooms on the bench" → mushroom can
"I need the mushrooms tin sitting there" → mushrooms tin
"Robot, fetch the can of mushrooms" → mushrooms can
"Hand me the orange juice carton from the fridge" → orange juice carton
"Grab that OJ carton on the bench" → OJ carton
"I need the orange juice carton over there" → orange juice carton
"Robot: retrieve the orange juice carton" → orange juice carton
"Hand me the parmesan cheese can from the shelf" → parmesan cheese can
"Grab that green parmesan container on the bench" → parmesan can
"I need the parmesan over there" → parmesan can
"Robot, fetch the parmesan cheese canister" → parmesan cheese can
"Hand me the peaches can from the shelf" → peaches can
"Grab that can of peaches on the bench" → peach can
"I need the peaches tin over there" → peaches tin
"Robot: retrieve the can of peaches" → peaches can
"Hand me the peas and carrots can from the shelf" → peas and carrots can
"Grab that mixed vegetable can on the bench" → vegetable can
"I need the peas and carrots tin sitting there" → peas carrots can
"Robot, fetch the peas and carrots can" → peas and carrots can
"Hand me the pineapple can from the shelf" → pineapple can
"Grab that can of pineapple on the bench" → pineapple tin
"I need the pineapple tin over there" → pineapple can
"Robot: retrieve the pineapple can" → pineapple can
"Hand me the popcorn bag from the table" → popcorn bag
"Grab that bag of popcorn on the bench" → popcorn package
"I need the popcorn bag over there" → popcorn bag
"Robot, fetch the popcorn bag" → popcorn bag
"Hand me the raisins box from the shelf" → raisins box
"Grab that small box of raisins on the bench" → raisin box
"I need the raisins package over there" → raisins box
"Robot: retrieve the raisins box" → raisins box
"Hand me the salad dressing bottle from the table" → salad dressing bottle
"Grab that dressing bottle on the bench" → dressing bottle
"I need the salad dressing over there" → salad dressing
"Robot, fetch the salad dressing bottle" → salad dressing bottle
"Hand me the spaghetti box from the shelf" → spaghetti box
"Grab that rectangular box of spaghetti on the bench" → spaghetti package
"I need the pasta spaghetti box over there" → spaghetti box
"Robot: retrieve the spaghetti box" → spaghetti box
"Hand me the tomato sauce can from the shelf" → tomato sauce can
"Grab that can of tomato sauce on the bench" → tomato sauce tin
"I need the tomato sauce tin over there" → tomato sauce can
"Robot, fetch the tomato sauce can" → tomato sauce can
"Hand me the cheezit cracker box from the shelf" → cheezit cracker box
"Grab that orange cheezit box on the bench" → cheezit box
"I need the cheezit box over there" → cheezit crackers
"Robot: retrieve the cheezit cracker box" → cheezit cracker box
"Hand me the clorox spray bottle from the shelf" → clorox spray bottle
"Grab that spray cleaning bottle on the bench" → spray cleaner bottle
"I need the clorox spray over there" → clorox spray
"Robot, fetch the clorox spray bottle" → spray bottle cleaner
"Hand me the expo dry erase marker from the table" → expo dry erase marker
"Grab that whiteboard marker on the bench" → whiteboard marker
"I need the dry erase marker over there" → dry erase marker
"Robot: retrieve the dry erase marker" → expo marker
"Hand me the folgers coffee tin from the shelf" → folgers coffee can
"Grab that round coffee tin on the bench" → coffee tin can
"I need the coffee tin over there" → coffee can
"Robot, fetch the folgers coffee tin" → coffee tin
"Hand me the oreo cookie package from the shelf" → oreo cookie package
"Grab that blue oreo cookies bag on the bench" → oreo cookies
"I need the oreo package over there" → oreo package
"Robot: retrieve the oreo cookie package" → oreo cookie package
"Hand me the electric toothbrush from the table" → electric toothbrush
"Grab that motorized toothbrush on the bench" → powered toothbrush
"I need the electric toothbrush over there" → electric toothbrush
"Robot, fetch the electric toothbrush" → electric toothbrush
"Hand me the scotch tape roll from the table" → scotch tape roll
"Grab that clear tape roll on the bench" → clear tape roll
"I need the scotch tape over there" → scotch tape roll
"Robot: retrieve the scotch tape" → scotch tape
"Hand me the tennis ball can from the table" → tennis ball can
"Grab that cylindrical tennis ball container on the bench" → tennis balls tube
"I need the tennis ball tube over there" → tennis ball can
"Robot, fetch the tennis ball can" → tennis ball can
"Hand me the tissue box from the table" → facial tissue box
"Grab that rectangular tissue box on the bench" → tissue box
"I need the facial tissue box over there" → tissue box
"Robot: retrieve the tissue box" → facial tissue box
"Hand me the pencil box from the table" → pencil box
"Grab that box of pencils on the bench" → pencil box
"I need the pencils box over there" → pencil box
"Robot, fetch the pencil box" → pencil box
"Hand me the desk stapler from the table" → desk stapler
"Grab that black desk stapler on the bench" → stapler
"I need the stapler over there" → desk stapler
"Robot: retrieve the desk stapler" → stapler
"Hand me the dog bone toy from the table" → dog bone toy
"Grab that rubber dog chew toy on the bench" → dog chew toy
"I need the dog bone toy right there" → dog bone toy
"Robot, fetch the dog bone toy" → dog bone toy
"Hand me the red apple from the table" → red apple
"Grab that round red apple on the bench" → apple fruit
"I need the apple sitting there" → red apple
"Robot: retrieve the red apple" → red apple
"Hand me the yellow banana from the table" → yellow banana
"Grab that ripe yellow banana on the bench" → banana
"I need the banana over there" → yellow banana
"Robot, fetch the yellow banana" → yellow banana
"Hand me the black binoculars from the table" → black binoculars
"Grab those black optical binoculars on the bench" → binoculars
"I need the binoculars right there" → black binoculars
"Robot: retrieve the black binoculars" → black binoculars
"Hand me the handheld flashlight from the table" → handheld flashlight
"Grab that cylindrical flashlight on the bench" → flashlight
"I need the flashlight over there" → handheld flashlight
"Robot, fetch the flashlight" → handheld flashlight
"Hand me the metal fork from the table" → metal fork
"Grab that silver metal fork on the bench" → silver fork
"I need the fork sitting right there" → metal fork
"Robot: retrieve the metal fork" → metal fork
"Hand me the claw hammer from the workbench" → claw hammer
"Grab that heavy claw hammer on the bench" → hammer
"I need the hammer right there for this job" → claw hammer
"Robot, fetch the claw hammer" → claw hammer
"Hand me the over-ear headphones from the table" → over-ear headphones
"Grab those large headphones on the bench" → headphones
"I need the headphones right there" → over ear headphones
"Robot: retrieve the over-ear headphones" → headphones
"Hand me the kitchen knife from the table" → kitchen knife
"Grab that sharp kitchen knife on the bench" → kitchen knife
"I need the knife right there carefully" → kitchen knife
"Robot, fetch the kitchen knife carefully" → kitchen knife
"Hand me the glass light bulb from the table" → glass light bulb
"Grab that round light bulb on the bench" → light bulb
"I need the light bulb over there" → glass light bulb
"Robot: retrieve the glass light bulb" → glass light bulb
"Hand me the frying pan from the table" → frying pan
"Grab that flat round frying pan on the bench" → frying pan
"I need the pan right there" → frying pan
"Robot, fetch the frying pan" → frying pan
"Hand me the water pitcher from the table" → water pitcher
"Grab that white plastic pitcher on the bench" → water pitcher
"I need the pitcher right there" → water pitcher
"Robot: retrieve the water pitcher" → water pitcher
"Hand me the screwdriver from the workbench" → screwdriver
"Grab that flathead screwdriver on the bench" → flathead screwdriver
"I need the screwdriver right there" → screwdriver
"Robot, fetch the screwdriver" → screwdriver
"Hand me the desk stapler from the workbench" → desk stapler
"Grab that office stapler on the bench" → office stapler
"I need the stapler right there" → desk stapler
"Robot: retrieve the desk stapler" → office stapler
"Hand me the toothbrush from the table" → toothbrush
"Grab that plastic toothbrush on the bench" → toothbrush
"I need the toothbrush right there" → toothbrush
"Robot, fetch the toothbrush" → toothbrush
"Hand me the toothpaste tube from the table" → toothpaste tube
"Grab that white toothpaste tube on the bench" → toothpaste
"I need the toothpaste right there" → toothpaste tube
"Robot: retrieve the toothpaste tube" → toothpaste tube
"Hand me the water bottle from the table" → water bottle
"Grab that plastic water bottle on the bench" → water bottle
"I need the water bottle right there" → water bottle
"Robot, fetch the water bottle" → water bottle
"Hand me the wine glass from the table" → wine glass
"Grab that transparent wine glass on the bench" → wine glass
"I need the wine glass right there" → wine glass
"Robot: retrieve the wine glass" → wine glass
"Hand me the wristwatch from the table" → wristwatch
"Grab that watch on the bench" → wristwatch
"I need the wristwatch right there" → wristwatch
"Robot, fetch the wristwatch" → wristwatch
"Hand me the adjustable wrench from the workbench" → adjustable wrench
"Grab that orange adjustable spanner on the bench" → adjustable wrench
"I need the wrench right there" → adjustable wrench
"Robot: retrieve the adjustable wrench" → wrench
"Hand me the slip joint pliers from the workbench" → slip joint pliers
"Grab those metal pliers on the bench" → pliers
"I need the pliers right there" → slip joint pliers
"Robot, fetch the pliers" → pliers
"Hand me the utility knife from the workbench" → utility knife
"Grab that box cutter knife on the bench" → utility knife
"I need the utility knife right there" → utility knife
"Robot: retrieve the utility knife" → utility knife
"Hand me the kitchen spatula from the table" → kitchen spatula
"Grab that flat cooking spatula on the bench" → cooking spatula
"I need the spatula right there" → kitchen spatula
"Robot, fetch the kitchen spatula" → kitchen spatula
"Hand me the soup ladle from the table" → soup ladle
"Grab that long-handled ladle on the bench" → ladle
"I need the ladle right there" → soup ladle
"Robot: retrieve the soup ladle" → soup ladle
"Hand me the wire whisk from the table" → wire whisk
"Grab that metal balloon whisk on the bench" → whisk
"I need the whisk right there for baking" → wire whisk
"Robot, fetch the wire whisk" → wire whisk
"Hand me the wooden rolling pin from the table" → wooden rolling pin
"Grab that cylindrical wooden rolling pin on the bench" → rolling pin
"I need the rolling pin right there" → wooden rolling pin
"Robot: retrieve the wooden rolling pin" → rolling pin
"Hand me the tape dispenser from the table" → tape dispenser
"Grab that desktop tape dispenser on the bench" → tape dispenser
"I need the tape dispenser right there" → tape dispenser
"Robot, fetch the tape dispenser" → tape dispenser
